Multiloja;CodTratado;CodAlternat;DataPrioridade;DataPedido;StatusPedido
0;600050426600;125588171;0;07/07/2025;0
0;600050428800;1023365410;0;07/07/2025;0
0;600050428600;120849020;0;07/07/2025;0
0;600050428000;122270203;0;07/07/2025;0
0;600050426700;162416990;0;07/07/2025;0
0;600050413800;163809230;0;07/07/2025;0
0;600050417000;121125197;0;07/07/2025;0
0;600050428200;225588172;0;07/07/2025;0
0;600050426800;123442105;0;07/07/2025;0
0;600050414300;124643080;0;07/07/2025;0
0;633195872200;144720113;0;07/07/2025;0
0;600050413400;122953007;0;07/07/2025;0
0;600050426900;124476188;0;07/07/2025;0
0;881857902000;458015645;0;07/07/2025;0
0;600050411000;863917040;0;07/07/2025;0
0;600050413600;162721200;0;07/07/2025;0
0;600050413900;166950017;0;07/07/2025;0
0;600050416600;122210203;0;07/07/2025;0
0;600050426400;1863906052;0;07/07/2025;0
0;600050424600;163929150;0;07/07/2025;0
0;600050414900;166960144;0;07/07/2025;0
0;600050415300;196589050;0;07/07/2025;0
0;600050424300;263813720;0;07/07/2025;0
0;600050416900;161637506;0;07/07/2025;0
0;600050428700;163850210;0;07/07/2025;0
0;600050423900;123117027;0;07/07/2025;0
0;600050414700;466960017;0;07/07/2025;0
0;644699032900;392851309;0;07/07/2025;0
0;600050414600;261071103;0;07/07/2025;0
0;600050416300;196580524;0;07/07/2025;0
0;600050415500;125633170;0;07/07/2025;0
0;600050415000;163814090;0;07/07/2025;0
0;600050428100;124682182;0;07/07/2025;0
0;600050416500;1023419063;0;07/07/2025;0
0;600050425900;696600137;0;07/07/2025;0
0;633195872000;226603016;0;07/07/2025;0
0;600050417400;161782110;0;07/07/2025;0
0;644699032800;192864310;0;07/07/2025;0
0;600050424000;123118020;0;07/07/2025;0
0;600050415200;161220201;0;07/07/2025;0
0;600050413000;263815102;0;07/07/2025;0
0;600050417300;163906401;0;07/07/2025;0
0;600050429100;161636223;0;07/07/2025;0
0;600050429000;663986230;0;07/07/2025;0
0;881857902800;157240018;0;07/07/2025;0
0;600050422100;161636223;0;07/07/2025;0
